feature,importance
log1p_dollar_vol_mean,0.1886275892465666
dollar_vol_mean,0.18494986268234906
ret_vol_q,0.06242764742587216
ret_vol_q_pctchg_yoy,0.04079753125290756
RelativeReturn_lag3,0.034189630620572155
log1p_dollar_vol_sum,0.03202110789417467
PE_pctchg_yoy,0.02979490536866348
RelativeReturn_lag2,0.02887282759002783
ret_vol_q_pctchg_qoq,0.026592301974136798
dollar_vol_sum,0.018254889940427364
avg_volume,0.01698500837176832
Turnover_pctchg_qoq,0.016670712552356956
log1p_Turnover,0.016285946714363838
Turnover,0.015255092903812911
log1p_PE,0.014610567258366078
TotalLiabilities_pctchg_yoy,0.013274717224453426
sum_volume_pctchg_qoq,0.012050952641258456
BookValue,0.011886751477062831
CapEx_pctchg_yoy,0.011838095955827497
CapEx_pctchg_qoq,0.011599094051792432
RelativeReturn,0.011553690967462714
PB_pctchg_qoq,0.011044813648905749
RelativeReturn_lag1,0.009779220245164467
NewsCount_pctchg_yoy,0.008967760759386607
RelativeReturn_pctchg_qoq,0.008733872029445323
sum_volume,0.008680035501818728
vol_vol_q,0.008155358526353957
PE,0.007662869692421413
dollar_vol_sum_pctchg_qoq,0.007644802759633396
vol_vol_q_pctchg_qoq,0.007496189395286463
BookValue_pctchg_yoy,0.0070473192212221645
Turnover_pctchg_yoy,0.006597303325649234
RelativeReturn_pctchg_yoy,0.006404318040454879
sum_volume_pctchg_yoy,0.00618755941984527
log1p_sum_volume,0.00608839184409771
avg_volume_pctchg_qoq,0.005916665128827396
vol_vol_q_pctchg_yoy,0.005579209477615839
NewsPosMinusNeg,0.005384619326594053
PE_pctchg_qoq,0.0053798120930926025
BookValue_pctchg_qoq,0.004855575820406857
log1p_CapEx,0.004653766129914151
avg_volume_pctchg_yoy,0.0043418793395952945
PB_pctchg_yoy,0.004057145286372525
NewsNeg,0.0039508686292466354
dollar_vol_mean_pctchg_qoq,0.003917338275676317
RelativeReturn_lag4,0.003884655439737669
log1p_TotalLiabilities,0.00386881494067512
log1p_avg_volume,0.003830962603390173
log1p_PB,0.0038013475066642132
NewsCount_pctchg_qoq,0.0034636589817853875
NewsPosMinusNeg_pctchg_qoq,0.0032278000281354283
TotalLiabilities_pctchg_qoq,0.00321633756406249
CapEx,0.0030649490853060413
dollar_vol_sum_pctchg_yoy,0.002773134676193651
log1p_BookValue,0.0027031170704211105
PB,0.002534754676078244
TotalLiabilities,0.0023564138744553496
NewsPos,0.0011987079721451832
NewsPosMinusNeg_pctchg_yoy,0.0011713643657328165
dollar_vol_mean_pctchg_yoy,0.0010839622743515657
NewsCount,0.0007544009096154402
NewsNeu,0.0
log1p_NewsCount,0.0
